uri,notation,label_german
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AA%2057300,AA 57300,"Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Internationale Allgemeinbibliografien, Nationalbibliografien, umfassende Buchhandelskataloge | Bibliografien der Bibliografien, Universalbibliografien, Bibliothekskataloge, Nationalbibliografien | Allgemeines | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AE%2076146,AE 76146,"Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Kongresse, Veranstaltungen, Messen | Allgemeine Nachschlagewerke | Enzyklopädien, allgemeine Nachschlagewerke | Allgemeines | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146,AL 50146,"Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | International, Europa insgesamt, Deutschland mit einzelnen Ländern | Hochschulwesen einzelner Länder und einzelne Hochschulen | Hochschul- und Universitätswesen | Allgemeines | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AN%2018146,AN 18146,"Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Buchgeschichte in einzelnen Ländern | Geschichte des Buches und Buchwesens | Buchwesen | Buch- und Bibliothekswesen, Informationswissenschaft | Allgemeines | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AN%2080170,AN 80170,"Darmstadt | Bibliotheken D | Einzelne deutsche Bibliotheken | Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken | Bibliothekswesen | Buch- und Bibliothekswesen, Informationswissenschaft | Allgemeines | Hessische Landes- und Hochschulbibliothek"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AR%2031460,AR 31460,Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Umweltschutz in einzelnen Ländern | Naturschutz und Umweltschutz | Allgemeines | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/BP%206082,BP 6082,Evangelische Kirche in Hessen und Nassau | Territorialkirchengeschichte | Evangelische Kirchengeschichte | Theologie und Religionswissenschaften | Quellen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/BP%206084,BP 6084,Evangelische Kirche in Hessen und Nassau | Territorialkirchengeschichte | Evangelische Kirchengeschichte | Theologie und Religionswissenschaften | Einzeluntersuchungen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/BP%206094,BP 6094,Evangelische Kirche von Kurhessen-Waldeck | Territorialkirchengeschichte | Evangelische Kirchengeschichte | Theologie und Religionswissenschaften | Einzeluntersuchungen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DI%201300,DI 1300,"Bildungs- und Kulturpolitik in den Bundesländern | Bildungspolitik, Kulturpolitik | Pädagogik | Hessen"
