Ein historisches Schmiedezeichen von 1845 in Mittel-Kinzig:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060290>
9. Großauheimer Dampftage 19. und 20. Juli 1997:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AK%2087814> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZG%209314>
Statt einer Tafel dem Romanisten Hans-Joachim Lope zum 70. Geburtstag:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2031600> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>
Fragmente von zwei Bibelhandschriften des Praemonstratenserstiftes Arnstein [aufbewahrt im Hauptstaatsarchiv Wiesbaden]:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AM%2046000> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2086740>
Hessische Landschaften und Stadtansichten 1650 - 1950:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2085430> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2085840> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2084280>
225 Jahre FG 1779 - 2004 ; [das Jahrbuch zum 225-jährigen Jubiläum des Friedrichsgymnasiums Kassel 2004]:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DK%201056>
10 Jahre Hessisches Immobilienmanagement:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZH%209014> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/QR%20560>
Ursprünge und Anfänge der Alma Mater Philippina zu Marburg:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2028500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>
Bau- und Kunstdenkmale in Schleid:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080680>
Vom Image - zur Zukunft der Stadt? Wohnen u. Arbeiten am Fluß, Projekte für d. Frankfurter Osthafen:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZH%209014>
Einführung in die Grafitti-Forschung = Introduction to graffiti research:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2084280>
Sportpferde aus Hessen Geschichte, Zucht und Sport:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZY%201600> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZX%206500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZD%2011014>
Hoch- und Tiefbauprojekte in Marburg:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZH%209014>
Ein Hinterhof a la New York neu: Multi-Media-Zentrum vom 1. Mai an in Bockenheim [bestehend aus e. Theater, Kino, Galerie u. Cafe]:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2040055>
Denkwürdigkeiten aus der Zeit des zweiten Ministeriums 1850 - 1855:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NP%203280> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NP%203215> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203790> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203795> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060010> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2061300>
Das Deutschherrnviertel in Frankfurt am Main ein Beispiel für Flächenrecycling:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZH%209014>
Hochfürstlich Nassau-Dillenburgische Schulverordnung vom 30. November 1724:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DI%201300>
Blumenzucht am Bahndamm:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/QR%20820> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZO%205914>
Ein roter Teppich für den Fürsten von Waldeck und Pyrmont die &quot;Fürstenzimmer&quot; in den Bahnhöfen Warburg, Wrexen, Arolsen, Korbach und Bad Wildungen:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/QR%20820> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZO%205914>
Martin-Luther-Schule in der Savignystraße 1899 - 1999:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DK%201056>
Neue Feststellungen vom alten (Dorf) Sinn von d. ältesten Mühle, Keiner u. Sadel:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2063500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203950>
Die historisch und kunstgeschichtlich bedeutsamen Bauwerke der Stadt Bad Vilbel.:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080680>
Organisation und Reform des Studiums eine Hochschullehrerbefragung:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2011100> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2018000> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2039000> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2040000> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>
Die Modernisierung des Alltagslebens Ansätze und Ergebnisse der volkskundlichen Sachkulturforschung:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2010055>
Kunstreform, Jugendbewegung, Siedlung Anmerkungen zu Leben und Werk Hermann Pfeiffers (1883 - 1964):	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2011140> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2085020> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2085840>
Bratkartoffeln und Lachs unter schwerer Wolkendecke Museumsuferfest 1990:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2062055>
Zwei Villmarer Notariatsinstrumente Dokumente v. 1684 u. 1686 ; Streit um Besitzrechte zwischen Niclas-Dernbach u. Aumenau:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/PW%208290>
European Business School Bildungsstätte der Superlative:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2028500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>
25 Jahre Spezialeinheiten in Hessen:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/PN%20385>
Projekt: Wohnanlage, Wiesbaden-Tennelberg:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2010687> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080687> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2079540>
Festschrift zum 550-jährigen Jubiläum am 22., 23., und 24. Juni 1968 anläßlich der Verleihung der Stadtrechte an die Gemeinde Breithardt durch König Sigismund auf dem Konzil zu Konstanz am 10. März 1418 Breithardt 550 Jahre Stadtrechte 1418 - 1968:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2073017> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2073055>
The nobility of Hesse-Kassel family, land, and office ; 1770 - 1870:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/MS%201204> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203950> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NW%207100>
Merkmale der Besiedelungstopografie der heutigen Gemarkung Rödermark:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2071055> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ND%208120>
Der Wald auf dem Krehberg [zu Seidenbuch gehoerig]:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/QT%20400> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZC%2073014> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZC%2074170> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZC%2074070>
Die Hanauer Ludwig-Geissler-Schule Groesste berufsbildende Schule Hessens:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DL%202400>
Ideen für einen Durchgangsbahnhof Kassel - so alt wie der Kasseler Kopfbahnhof:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZH%209014> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/QR%20820> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZO%205914>
10 Jahre IANUS 1988 - 1998:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2028500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>
Herman Thutewohl Redakteur [u. Historiker], Dr. phil., Wiesbaden, 1915-1985:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2060060>
Westerwälder Trachten in früherer Zeit:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2012055>
Richtwertkarte [Kassel] ; Zusatzdiskette zur CD-ROM Digitale Karten Kassel:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ZH%209014>
Der Wilhelmsturm zu Dillenburg ein Beitr. zu seiner Baugesch. 1865 - 75:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2063500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203950>
2000 Regalmeter Akten und eine leere Schmuckschatulle ein Besuch im Universitätsarchiv:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AK%2014314> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2028500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>
Der Anzünder seit 1993 verwundern Matthias Schenk und seine Frau Beatrice die Besucher von Schloss Freudenberg immer wieder aufs Neue:	<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AP%2099500> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DW%201700> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DW%201016> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2079750> <https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NZ%2063070>
