<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AA%2057300>	Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Internationale Allgemeinbibliografien, Nationalbibliografien, umfassende Buchhandelskataloge | Bibliografien der Bibliografien, Universalbibliografien, Bibliothekskataloge, Nationalbibliografien | Allgemeines | Hessen	AA 57300
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AE%2076146>	Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Kongresse, Veranstaltungen, Messen | Allgemeine Nachschlagewerke | Enzyklopädien, allgemeine Nachschlagewerke | Allgemeines | Hessen	AE 76146
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AL%2050146>	Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | International, Europa insgesamt, Deutschland mit einzelnen Ländern | Hochschulwesen einzelner Länder und einzelne Hochschulen | Hochschul- und Universitätswesen | Allgemeines | Hessen	AL 50146
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AN%2018146>	Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Buchgeschichte in einzelnen Ländern | Geschichte des Buches und Buchwesens | Buchwesen | Buch- und Bibliothekswesen, Informationswissenschaft | Allgemeines | Hessen	AN 18146
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AN%2080170>	Darmstadt | Bibliotheken D | Einzelne deutsche Bibliotheken | Bibliothekswesen in einzelnen Ländern und einzelne Bibliotheken | Bibliothekswesen | Buch- und Bibliothekswesen, Informationswissenschaft | Allgemeines | Hessische Landes- und Hochschulbibliothek	AN 80170
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/AR%2031460>	Westdeutschland | Deutschland (Westliche Länder) | Deutschland | Mitteleuropa | Europa | Umweltschutz in einzelnen Ländern | Naturschutz und Umweltschutz | Allgemeines | Hessen	AR 31460
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/BP%206082>	Evangelische Kirche in Hessen und Nassau | Territorialkirchengeschichte | Evangelische Kirchengeschichte | Theologie und Religionswissenschaften | Quellen	BP 6082
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/BP%206084>	Evangelische Kirche in Hessen und Nassau | Territorialkirchengeschichte | Evangelische Kirchengeschichte | Theologie und Religionswissenschaften | Einzeluntersuchungen	BP 6084
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/BP%206094>	Evangelische Kirche von Kurhessen-Waldeck | Territorialkirchengeschichte | Evangelische Kirchengeschichte | Theologie und Religionswissenschaften | Einzeluntersuchungen	BP 6094
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/DI%201300>	Bildungs- und Kulturpolitik in den Bundesländern | Bildungspolitik, Kulturpolitik | Pädagogik | Hessen	DI 1300
